tic,equity,shares,ebit,net_income,sale,price
TTGT,152.951,28.143,22.739,16.875,133.957,26.1
PODD,75.9,62.685,50,11.6,738.2,171.2
INFN,386.535,181.134,-202.846,-386.618,1298.865,7.94
JAZZ,3110.926,56.141,642.349,523.367,2161.761,149.28
LLNW,166.537,118.368,-15.725,-16.044,200.634,4.08
CDXC,20.445,59.562,-29.067,-32.147,46.291,4.31
DFS,11296,310.157,4778,2957,13989,84.82
AMC,1214.2,103.85,235.8,-149.1,5471,7.24
TIPT,398.062,34.563,49.841,18.361,765.13,8.14
PRO,164.996,42.63,-52.517,-69.081,250.334,59.92
SCOR,258.974,70.065,-62.724,-338.996,388.645,4.94
MASI,1167.874,53.696,221.216,196.216,937.837,158.06
DHX,161.195,53.918,19.262,12.551,149.37,3.01
ALSN,781,118.2,887,604,2698,48.32
G,1689.171,190.118,406.694,304.881,3520.543,42.17
LULU,1952.218,130.349,889.11,645.596,3979.296,231.67
RILY,360.66,26.972,168.92,81.611,652.112,25.18
VMW,7009,417.706,1930,6412,10811,151.79
TDC,262,110.9,61,-20,1899,26.77
MSCI,-76.714,84.795,755.701,563.648,1557.796,258.18
LPLA,1023.873,80.234,877.992,559.88,5624.856,92.25
ROIC,1179.348,116.496,103.145,48.844,295.04,17.66
TGH,1259.379,56.818,213.849,56.724,707.481,10.71
CVI,1393,100.531,576,380,6364,40.43
PZN,31.444,18.009,68.364,8.462,150.746,8.62
ULTA,1902.094,56.609,901.094,705.945,7398.068,253.14
APEI,296.733,15.178,24.862,10.013,286.27,27.39
ENSG,654.197,53.487,130.419,110.534,2036.524,45.37
LL,161.25,28.714,20.191,9.663,1092.602,9.77
SCU,-225.61,21.285,47.49,7.054,597.346,22.1
UIHC,503.138,43.028,-22.944,-29.872,825.116,12.61
NFBK,695.853,49.175,69.405,40.235,179.951,16.96
CIM,3952.921,187.226,1663.598,413.551,1791.104,20.56
TITN,345.104,22.335,25.096,13.953,1305.171,14.78
LRN,633.365,40.24,45.486,37.209,1015.752,20.35
ACBI,326.495,21.751,48.349,49.855,116.572,18.35
FOR,808.3,47.997,36.7,33,428.3,20.85
SATS,3669.805,97.794,108.178,-62.917,1886.081,43.31
EBSB,726.587,51.064,109.068,66.996,279.364,20.09
CSII,147.944,34.935,-0.825,-0.255,248.017,48.59
AWK,6121,180.813,1218,621,3610,122.85
V,29222,2161,15401,12080,22977,187.9
CFX,3441.43,118.059,357.059,-527.646,3327.458,36.38
FN,863.099,36.842,124.999,120.955,1584.335,64.84
HCCI,264.997,23.191,26.351,8.363,444.427,31.37
PM,-11577,1555.895,11566,7185,29805,85.09
HI,754.1,62.7,238.2,121.4,1807.3,33.31
CCXI,66,60.235,-58.303,-55.489,36.128,39.55
ZGNX,245.059,45.272,-172.783,-419.503,3.648,52.13
SWI,2649.522,308.29,143.371,18.642,932.525,18.55
ERII,136.013,55.262,10.364,10.913,86.942,9.79
KKR,10322.032,560.008,6234.68,2005.049,9143.111,29.17
VRS,1013,34.704,95,96,2444,18.03
NX,330.187,33.022,53.077,-46.73,893.841,17.08
CDNA,99,42.498,-23.518,-21.968,127.068,21.57
FLDM,153.612,69.956,-51.396,-64.79,117.243,3.48
CDXS,105.517,58.877,-12.549,-11.935,68.458,15.99
IPI,434.656,129.554,17.58,13.631,220.075,2.71
AGNC,10109,540.9,3147,688,3230,17.68
ECHO,383.312,26.23,35.567,14.846,2184.977,20.7
HCI,185.543,7.765,48.055,26.576,241.381,45.65
MRC,642,81.408,120,39,3662,13.64
IOVA,298.967,126.412,-206.872,-197.556,0,27.68
LOPE,1443.433,48.105,269.097,259.175,778.643,95.79
SB,472.687,104.251,44.528,16.038,206.682,1.7
HBCP,316.329,9.252,47.678,27.932,115.423,39.19
IVR,2368.575,144.256,738.361,364.101,784.535,16.65
MG,285.822,28.945,28.898,6.06,748.586,14.27
BKI,1898.5,149.698,295,108.8,1177.2,64.48
ATVI,12805,768.76,1744,1503,6489,59.42
TREE,402.326,13.036,78.167,17.828,1106.603,303.44
JBT,569.5,31.667,226.4,129,1945.7,112.66
RXN,1311,119.719,352.3,180.1,2068.3,32.62
BERY,1618,132.3,842,404,8878,47.49
MYRG,364.471,16.649,54.235,37.69,2071.159,32.59
VRSK,2260.8,163.162,879.9,449.9,2607.1,149.34
IBIO,2.463,20.152,-15.593,-17.593,2.034,0.249
AVGO,24941,398,4532,2724,22597,316.02
MDRX,1285.188,162.475,62.281,-182.178,1771.677,9.815
GPRE,751.905,36.032,-142.57,-166.86,2417.238,15.43
DMRC,49.4,12.446,-33.731,-32.84,22.987,33.56
FSBW,200.242,4.367,52.007,22.717,112.66,63.79
CLW,432,16.516,49.3,-5.6,1761.5,21.36
SLCA,705.217,73.602,21.929,-329.082,1474.477,6.15
OPI,1705.754,48.202,106.32,30.335,680.15,32.14
RC,825.412,51.127,94.481,72.968,274.891,15.42
WMC,564.461,53.524,325.757,70.699,346.701,10.33
TBNK,243.89,9.241,31.978,21.995,83.4,30.94
ADUS,475.592,15.617,42.23,25.237,648.791,97.22
ASPS,-22.826,15.454,16.089,-307.969,648.651,19.33
TXMD,9.201,271.177,-151.205,-176.145,49.647,2.42
PMT,2151.208,100.182,488.087,226.357,786.261,22.29
H,3962,101.572,219,766,5020,89.71
FTNT,1321.9,171.7,344.2,326.5,2156.2,106.76
STWD,4700.425,282.201,645.87,509.664,1166.965,24.86
KAR,1650.2,128.833,357.6,188.5,2781.9,21.79
OMER,-109.021,54.201,-63.382,-84.486,111.805,14.09
SRNE,78.588,167.798,-195.182,-292.068,31.432,3.38
CLNY,4216.553,487.778,-143.044,-1048.807,2197.652,4.75
ARI,2629.907,153.537,404.69,230.174,489.521,18.29
RCM,18.1,114.021,92.7,12,1186.1,12.98
IRDM,1459.282,131.632,10.12,-161.999,560.444,24.64
GNRC,1032.382,62.565,372.163,252.007,2204.336,100.59
TWO,3992.965,272.936,1133.02,323.962,1324.784,14.62
COWN,809.854,28.61,-247.434,24.631,864.758,15.75
FLNT,210.937,75.874,8.083,-1.747,281.684,2.5
ARR,1436.699,58.877,388.447,-249.905,426.927,17.87
PEB,3621.004,130.485,231.778,115.442,1612.213,26.81
TRNO,1517.123,67.253,62.652,55.516,174.837,54.14
EFC,718.231,38.648,136.242,57.933,170.11,18.33
CALX,154.028,56.448,-12.927,-17.694,424.33,8
ST,2573.755,157.828,610.445,282.714,3450.631,53.87
CRMD,23.646,25.665,-21.009,-16.433,0.283,7.28
SPSC,354.876,34.863,38.406,33.712,279.124,55.42
MSGN,-458.768,74.876,309.899,186.182,720.845,17.4
FIBK,2013.9,65.247,344,181,703.9,41.92
APO,1298.009,222.994,1404.007,843.193,2931.849,47.71
IRWD,-93.251,157.536,138.528,21.505,428.413,13.31
PLOW,313.163,22.795,86.419,49.166,571.71,55
QNST,222.829,50.518,10.727,62.48,455.154,15.31
EXPR,406.302,63.922,-12.041,-164.358,2019.194,4.87
STNG,1976.989,58.202,129.972,-48.49,704.325,39.34
GDOT,927.356,51.807,95.699,99.897,1076.654,23.3
CBOE,3355.6,110.657,585.7,374.4,2496.1,120
MXL,414.92,71.931,-19.421,-19.898,317.18,21.22
ENV,869.094,52.842,3.2,-16.782,900.127,69.63
AOSL,291.024,24.517,-7.02,1.861,450.92,13.62
CLDT,762.377,46.928,51.85,18.703,322.07,18.34
FLT,3711.616,85.342,1238.134,895.073,2648.848,287.72
NPTN,160.206,48.526,-8.969,-17.076,356.804,8.82
AMRS,-255.777,117.743,-121.674,-242.767,152.557,3.09
QUAD,226.6,52.7,124.1,-156.3,3923.4,4.67
FAF,4420.484,112.476,949.983,707.41,6199.225,58.32
WKHS,-34.913,67.105,-23.867,-37.163,0.377,3.04
TSLA,6618,181,80,-862,24578,418.33
HPP,3416.793,154.691,114.513,44.029,822.938,37.65
AMRC,428.856,47.23,49.533,44.436,866.933,17.5
VPG,241.36,13.523,33.249,22.188,283.958,34
COR,158.162,37.701,140.816,75.84,572.727,112.12
VRA,303.77,33.503,30.684,16.047,495.212,11.8
BWXT,404.106,95.313,299.421,244.115,1894.92,62.08
