PERMNO,date,TICKER,RET
90601,20200529,NDAQ,0.080150
90601,20200630,NDAQ,0.012663
90601,20200731,NDAQ,0.099104
90601,20200831,NDAQ,0.023684
90601,20200930,NDAQ,-0.083470
90601,20201030,NDAQ,-0.014017
90601,20201130,NDAQ,0.057856
90601,20201231,NDAQ,0.040941
90603,20200131,PFBC,0.005325
90603,20200228,PFBC,-0.149393
90603,20200331,PFBC,-0.338549
90603,20200430,PFBC,0.136901
90603,20200529,PFBC,-0.015203
90603,20200630,PFBC,0.140538
90603,20200731,PFBC,-0.123687
90603,20200831,PFBC,0.004027
90603,20200930,PFBC,-0.141177
90603,20201030,PFBC,0.062578
90603,20201130,PFBC,0.086905
90603,20201231,PFBC,0.372586
90604,20200131,MTEM,0.068287
90604,20200228,MTEM,0.076975
90604,20200331,MTEM,-0.174021
90604,20200430,MTEM,0.221219
90604,20200529,MTEM,-0.043746
90604,20200630,MTEM,-0.111469
90604,20200731,MTEM,-0.204496
90604,20200831,MTEM,0.058341
90604,20200930,MTEM,-0.059431
90604,20201030,MTEM,-0.190476
90604,20201130,MTEM,0.012443
90604,20201231,MTEM,0.049162
90605,20200131,ULH,-0.108650
90605,20200228,ULH,-0.081953
90605,20200331,ULH,-0.149903
90605,20200430,ULH,0.063359
90605,20200529,ULH,0.066762
90605,20200630,ULH,0.169583
90605,20200731,ULH,0.056962
90605,20200831,ULH,0.170386
90605,20200930,ULH,-0.029767
90605,20201030,ULH,-0.054171
90605,20201130,ULH,0.090218
90605,20201231,ULH,-0.037889
90634,20200131,AX,-0.069683
90634,20200228,AX,-0.115726
90634,20200331,AX,-0.272180
90634,20200430,AX,0.271373
90634,20200529,AX,-0.054230
90634,20200630,AX,0.012844
90634,20200731,AX,0.014946
90634,20200831,AX,0.105756
90634,20200930,AX,-0.059322
90634,20201030,AX,0.169455
90634,20201130,AX,0.228907
90634,20201231,AX,0.120298
90637,20200131,PBIP,-0.049649
90637,20200228,PBIP,-0.067007
90637,20200331,PBIP,-0.068777
90637,20200430,PBIP,-0.168919
90637,20200529,PBIP,-0.006504
90637,20200630,PBIP,-0.009002
90637,20200731,PBIP,-0.069767
90637,20200831,PBIP,-0.116964
90637,20200930,PBIP,0.072801
90637,20201030,PBIP,0.099621
90637,20201130,PBIP,0.124245
90637,20201231,PBIP,0.068304
90664,20200131,DXCM,0.100622
90664,20200228,DXCM,0.146417
90664,20200331,DXCM,-0.024384
90664,20200430,DXCM,0.244847
90664,20200529,DXCM,0.128610
90664,20200630,DXCM,0.071608
90664,20200731,DXCM,0.074346
90664,20200831,DXCM,-0.023258
90664,20200930,DXCM,-0.030982
90664,20201030,DXCM,-0.224753
90664,20201130,DXCM,0.000313
90664,20201231,DXCM,0.156532
90680,20200131,DRH,-0.127256
90680,20200228,DRH,-0.056877
90680,20200331,DRH,-0.442982
90680,20200430,DRH,0.226378
90680,20200529,DRH,-0.038523
90680,20200630,DRH,-0.076795
90680,20200731,DRH,-0.164557
90680,20200831,DRH,0.147186
90680,20200930,DRH,-0.043396
90680,20201030,DRH,-0.025641
90680,20201130,DRH,0.522267
90680,20201231,DRH,0.097074
90701,20200131,LAZ,0.050050
90701,20200228,LAZ,-0.135129
90701,20200331,LAZ,-0.342267
90701,20200430,LAZ,0.167233
90701,20200529,LAZ,-0.006182
90701,20200630,LAZ,0.065897
90701,20200731,LAZ,0.024101
90701,20200831,LAZ,0.096180
90701,20200930,LAZ,0.043574
90701,20201030,LAZ,0.018759
90701,20201130,LAZ,0.122364
90701,20201231,LAZ,0.133441
90706,20200131,CTRN,0.007353
90706,20200228,CTRN,-0.151138
90706,20200331,CTRN,-0.545776
90706,20200430,CTRN,0.276405
90706,20200529,CTRN,0.429577
90706,20200630,CTRN,0.245074
90706,20200731,CTRN,-0.148368
90706,20200831,CTRN,0.122532
90706,20200930,CTRN,0.292292
90706,20201030,CTRN,0.045236
90706,20201130,CTRN,0.297970
90706,20201231,CTRN,0.465919
90708,20200131,MORN,0.038861
90708,20200228,MORN,-0.063675
90708,20200331,MORN,-0.208645
90708,20200430,MORN,0.344172
90708,20200529,MORN,-0.016927
90708,20200630,MORN,-0.080551
90708,20200731,MORN,0.194155
90708,20200831,MORN,-0.046953
90708,20200930,MORN,0.002872
90708,20201030,MORN,0.187224
90708,20201130,MORN,0.051056
90708,20201231,MORN,0.158846
90715,20200131,ZUMZ,-0.097568
90715,20200228,ZUMZ,-0.148861
90715,20200331,ZUMZ,-0.347154
90715,20200430,ZUMZ,0.220554
90715,20200529,ZUMZ,0.152791
90715,20200630,ZUMZ,0.123512
90715,20200731,ZUMZ,-0.156318
90715,20200831,ZUMZ,0.111688
90715,20200930,ZUMZ,0.083333
90715,20201030,ZUMZ,0.006470
90715,20201130,ZUMZ,0.324643
90715,20201231,ZUMZ,-0.008358
90716,20200131,ATSG,-0.106138
90716,20200228,ATSG,-0.146400
90716,20200331,ATSG,0.021229
90716,20200430,ATSG,0.107221
90716,20200529,ATSG,0.064229
90716,20200630,ATSG,0.033890
90716,20200731,ATSG,0.094297
90716,20200831,ATSG,0.043086
90716,20200930,ATSG,-0.014162
90716,20201030,ATSG,0.118915
90716,20201130,ATSG,0.096291
90716,20201231,ATSG,0.019519
90718,20200131,BFIN,-0.046636
90718,20200228,BFIN,-0.082598
90718,20200331,BFIN,-0.223104
90718,20200430,BFIN,-0.061294
90718,20200529,BFIN,0.110036
90718,20200630,BFIN,-0.074890
90718,20200731,BFIN,-0.132143
90718,20200831,BFIN,0.009602
90718,20200930,BFIN,-0.005510
90718,20201030,BFIN,0.018006
90718,20201130,BFIN,0.111565
90718,20201231,BFIN,0.087980
90720,20200131,BLDR,-0.024203
90720,20200228,BLDR,-0.084090
90720,20200331,BLDR,-0.461471
90720,20200430,BLDR,0.500409
90720,20200529,BLDR,0.134060
90720,20200630,BLDR,-0.005286
90720,20200731,BLDR,0.144444
90720,20200831,BLDR,0.292529
90720,20200930,BLDR,0.065317
90720,20201030,BLDR,-0.071122
90720,20201130,BLDR,0.234653
90720,20201231,BLDR,0.090885
90724,20200131,EGLE,-0.293478
90724,20200228,EGLE,0.021538
90724,20200331,EGLE,-0.442771
90724,20200430,EGLE,-0.091892
90724,20200529,EGLE,0.053571
90724,20200630,EGLE,0.237288
90724,20200731,EGLE,0.109589
90724,20200831,EGLE,0.086420
90724,20200930,EGLE,-0.114178
90724,20201030,EGLE,-0.159438
90724,20201130,EGLE,0.353924
90724,20201231,EGLE,0.019860
90734,20200131,LHCG,0.057999
90734,20200228,LHCG,-0.166655
90734,20200331,LHCG,0.154289
90734,20200430,LHCG,-0.072824
90734,20200529,LHCG,0.250173
90734,20200630,LHCG,0.072673
90734,20200731,LHCG,0.119263
90734,20200831,LHCG,0.068320
90734,20200930,LHCG,0.019766
90734,20201030,LHCG,0.018771
90734,20201130,LHCG,-0.093420
90734,20201231,LHCG,0.086593
90751,20200131,DBI,-0.095299
90751,20200228,DBI,-0.051264
90751,20200331,DBI,-0.623982
90751,20200430,DBI,0.275100
90751,20200529,DBI,-0.034646
90751,20200630,DBI,0.104405
90751,20200731,DBI,-0.127031
90751,20200831,DBI,0.192893
90751,20200930,DBI,-0.229787
90751,20201030,DBI,-0.202578
90751,20201130,DBI,0.824480
90751,20201231,DBI,-0.031646
90755,20200131,FSP,-0.101636
90755,20200228,FSP,-0.061842
90755,20200331,FSP,-0.196353
90755,20200430,FSP,-0.034904
90755,20200529,FSP,-0.018382
90755,20200630,FSP,-0.046816
90755,20200731,FSP,0.049116
90755,20200831,FSP,-0.156191
90755,20200930,FSP,-0.173815
90755,20201030,FSP,0.172131
90755,20201130,FSP,0.104762
90755,20201231,FSP,-0.058190
90756,20200131,OSK,-0.090967
90756,20200228,OSK,-0.157950
90756,20200331,OSK,-0.108385
90756,20200430,OSK,0.049743
90756,20200529,OSK,0.067970
90756,20200630,OSK,-0.002785
90756,20200731,OSK,0.099134
90756,20200831,OSK,-0.017912
90756,20200930,OSK,-0.045579
90756,20201030,OSK,-0.083537
90756,20201130,OSK,0.199970
90756,20201231,OSK,0.069193
90775,20200131,THS,-0.080412
90775,20200228,THS,-0.145516
90775,20200331,THS,0.158489
90775,20200430,THS,0.171687
90775,20200529,THS,0.018945
90775,20200630,THS,-0.169038
90775,20200731,THS,0.000457
90775,20200831,THS,-0.023049
90775,20200930,THS,-0.053259
90775,20201030,THS,-0.041697
90775,20201130,THS,0.058960
90775,20201231,THS,0.033066
90776,20200131,WAL,-0.031053
90776,20200228,WAL,-0.161869
90776,20200331,WAL,-0.335143
90776,20200430,WAL,0.172166
90776,20200529,WAL,0.070234
90776,20200630,WAL,-0.007340
90776,20200731,WAL,-0.050700
