gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,ceq,csho,ebit,ni,sale,costat,prcc_c
013570,20191231,2019,INDL,C,D,STD,MIDD,USD,1946.8140,56.1900,522.5830,352.2400,2959.4460,A,109.5200
013579,20191231,2019,INDL,C,D,STD,EQC,USD,3125.3140,121.9240,87.2600,492.6800,200.2420,A,32.8300
013580,20191231,2019,INDL,C,D,STD,UHT,USD,181.7340,13.7570,27.5460,18.9640,78.9590,A,117.3600
013602,20200430,2019,INDL,C,D,STD,CRMT,USD,302.6590,6.6190,-7.6300,51.3030,652.9920,A,109.6600
013619,20200331,2019,INDL,C,D,STD,ABMD,USD,1065.4660,45.0090,248.6440,203.0090,840.8830,A,170.5900
013623,20191231,2019,INDL,C,D,STD,CNMD,USD,710.4670,28.4220,96.3730,28.6200,955.0970,A,111.8300
013700,20191231,2019,INDL,C,D,STD,XRAY,USD,5092.5000,221.3000,552.5000,262.9000,4029.2000,A,56.5900
013714,20191231,2019,INDL,C,D,STD,VIAC,USD,13207.0000,615.0000,5108.0000,3308.0000,27812.0000,A,41.9700
013721,20191231,2019,INDL,C,D,STD,ZTS,USD,2708.0000,475.5280,2113.0000,1500.0000,6276.0000,A,132.3500
013786,20191231,2019,INDL,C,D,STD,HRTX,USD,403.8350,90.3040,-202.2940,-204.7490,145.9680,A,23.5000
013824,20190930,2019,INDL,C,D,STD,FICO,USD,289.7670,28.9440,253.5480,192.1240,1160.0830,A,374.6800
013888,20191231,2019,INDL,C,D,STD,COOP,USD,2232.0000,91.1180,171.0000,274.0000,2007.0000,A,12.5100
013906,20190930,2019,INDL,C,D,STD,JOUT,USD,324.5340,10.0460,63.7740,51.4130,562.4190,A,76.7000
013963,20191231,2019,INDL,C,D,STD,VGR,USD,-685.4640,148.0850,231.1350,100.9740,1452.4550,A,13.3900
013988,20191231,2019,INDL,C,D,STD,SCHW,USD,18952.0000,1285.7250,5158.0000,3704.0000,11785.0000,A,47.5600
014027,20191231,2019,INDL,C,D,STD,CLH,USD,1269.8130,55.7980,223.9560,97.7400,3412.1900,A,85.7500
014084,20191231,2019,INDL,C,D,STD,AIN,USD,698.6830,32.3080,196.9820,132.3980,1054.1320,A,75.9200
014108,20191231,2019,INDL,C,D,STD,CYBE,USD,58.3240,7.1550,0.9360,0.7740,59.2630,A,18.3800
014113,20190930,2019,INDL,C,D,STD,MITK,USD,107.3330,40.3670,-0.5090,-0.7240,84.5900,A,7.6500
014172,20191231,2019,INDL,C,D,STD,FULT,USD,2342.1760,164.2180,423.7620,226.3390,1041.4660,A,17.4300
014219,20191231,2019,INDL,C,D,STD,BXS,USD,2517.9960,104.5230,428.1330,234.2610,1055.6930,A,31.4100
014225,20191231,2019,INDL,C,D,STD,FAST,USD,2665.6000,574.1290,1056.0000,790.9000,5333.7000,A,36.9500
014253,20191231,2019,INDL,C,D,STD,WABC,USD,731.4170,27.0620,132.4750,80.3890,205.6570,A,67.7700
014256,20190630,2019,INDL,C,D,STD,MXIM,USD,1845.2760,271.8520,753.6260,827.4860,2314.3290,A,61.5100
014269,20191231,2019,INDL,C,D,STD,HLF,USD,-390.0000,137.4000,625.1000,311.0000,4877.1000,A,47.6700
014275,20191231,2019,INDL,C,D,STD,FRC,USD,8706.1070,168.6210,1841.4930,930.3290,4156.6990,A,117.4500
014282,20191231,2019,INDL,C,D,STD,APH,USD,4530.3000,297.9000,1628.9000,1155.0000,8225.4000,A,108.2300
014309,20191231,2019,INDL,C,D,STD,IPAR,USD,468.0040,31.5130,104.7270,60.2490,713.5140,A,72.7100
014311,20191231,2019,INDL,C,D,STD,PII,USD,1107.9990,61.4120,425.5510,323.9600,6782.5180,A,101.7000
