ticker,current_assets,total_assets,ebit,current_liabilities,total_liabilities,retained_earnings,total_sales,credit_rating,book_value_per_share,shares_issued,shares_outstanding,inventory,acct_receivable,total_equity,working_cap,mkt_value,cogs,net_income,interest_exp
DLX,202.117,1267.132,238.315,664.503,1332.805,-167.293,1639.654,15,-1.2747,51.519,51.519,32.681,103.014,-65.673,-462.386,1298.2788,527.209,100.954,56.661
DXYN,108.712,277.674,19.9,35.586,141.996,6.289,331.1,16,10.4868,16.337,12.938,69.6,31.846,135.678,73.126,163.5363,223.762,7.703,7.456
RRD,2517,9635.8,956.8,1611.8,5511.1,1677.1,9316.6,10,18.8515,243,218.8,501.8,1638.6,4124.7,905.2,7776.152,6798.9,400.6,154.1
DOV,2271.506,7626.658,911.805,1433.98,3815.636,4470.779,6511.623,8,18.6526,242.293,204.316,709.647,1056.828,3811.022,837.526,10015.5703,3962.08,561.782,76.984
DD,17209,45581,4721,10601,27151,14752,49124,8,17.8122,981.378,958.051,6058,8048,17065,6608,38226.2349,39577,3724,689
DJ,313.648,1955.562,147.642,828.114,1456.589,1104.444,1783.87,11,5.9652,102.181,83.647,5.081,242.955,,-514.466,3172.953,887.161,386.564,30.173
FLS,1302.881,2869.235,224.799,884.036,1848.649,492.427,3061.063,15,18.2176,58.631,56.022,547.373,551.815,1020.586,418.845,2827.4303,1982.765,115.032,65.688
PKI,744.766,2510.322,151.503,476.533,932.592,1047.13,1546.358,12,12.8005,123.255,123.255,183.26,268.459,1577.73,268.233,2739.9587,849.103,119.583,9.157
ETN,4408,11417,1053,3407,7311,1947,12370,8,28.0656,146.3,146.3,1293,1928,4106,1001,10992.982,8616,950,104
ECL,1853.557,4419.365,614.442,1502.73,2739.135,1886.76,4895.814,8,6.6852,322.579,251.337,364.886,867.541,1680.23,350.827,11360.4324,2147.489,368.615,51.318
EMR,7330,18672,3022,5374,10342,11620,20133,8,20.2661,476.677,402.347,2222,3716,8154,1956,33740.8194,12405,1845,225
VKSC,99.539,203.755,6.244,46.178,199.573,-19.856,210.391,20,0.4084,10.812,9.938,43.482,34.911,4.182,53.361,15.0064,164.924,1.609,14.407
ESL,468.338,1290.451,89.62,200.599,578.884,432.817,972.275,14,27.7752,25.49,25.49,185.846,197.968,707.989,267.739,960.973,629.763,55.615,21.29
