tic,RetEarly2020,RetLate2020
PAVM,0.6499993693,0.07070678105
PI,-0.3538281232,1.505682814
TCMD,-0.4051253252,0.11902567
TPIC,-0.2015126349,2.571037958
ATOM,0.1363635359,3.597137336
FHB,-0.4208162032,0.4882195416
MEDP,-0.1270527642,0.896974578
PTGX,0.001418630449,1.855527551
HOME,-0.6327273343,6.65345502
ASIX,-0.522043808,1.095388436
DFIN,-0.4966568852,2.220110856
SMPL,-0.325158354,0.6282443229
CSTR,-0.4037960882,0.5114741516
EVBG,0.3621935756,0.4015591769
FLGT,-0.1658922246,3.842005488
NTNX,-0.4945614439,1.017084687
TRHC,0.07415761126,-0.180722258
TTD,-0.25706342,3.15025912
ELF,-0.3899568332,1.55995902
FBK,-0.5005181112,0.7787648526
VVV,-0.3850602949,0.7983090893
NTB,-0.5326655537,0.9215280151
ADNT,-0.5731768712,2.833515957
YUMC,-0.1095605159,0.3420498114
AA,-0.7136214519,2.741884166
BL,0.02036442045,1.535262738
COUP,-0.04458245299,1.425461999
FRTA,-0.4826994033,1.875411737
IRTC,0.194742337,1.915914653
LW,-0.3346065137,0.3937468676
GT,-0.6212842719,0.8745732971
GOLF,-0.2038465362,0.5966114016
ARCH,-0.590186545,0.5145349635
CWH,-0.6035816364,3.808085274
INSW,-0.195228136,-0.3085913799
GTYH,-0.2325975195,0.1460163055
MRKR,-0.3402779554,-0.2368428586
ATH,-0.4722517343,0.7381120683
CNDT,-0.6048385601,0.9591834566
HGV,-0.5414362535,0.9879535416
PK,-0.6768457722,1.168142045
BPOP,-0.397447022,0.6560763735
IIPR,0.01397091933,1.480568259
ORGO,-0.3284815576,1.331270278
ICHR,-0.4241056908,0.5733305891
PVAC,-0.8981875136,2.284784225
VREX,-0.2381753244,-0.2655224545
BOH,-0.414277564,0.431238497
JELD,-0.5843655967,1.606375283
UVV,-0.2141227366,0.159172368
NEX,-0.8253731142,1.940170352
REVG,-0.657330282,1.132564211
ANAB,-0.1304618037,0.5215833152
